COUNTRY,CODE,YEAR,Import+Exports/GDP,GDP Growth,Inflation,Democracy Scale,Autocracy Scale,Per Capita GDP in 1995 USD,Percentage of Urban Population,Value Added of Manufacturing Sector (%GDP),Capital Openness,GDP per Capita in PPP values,Age Dependency Ratio,% of Population over 65,Real Exchange Rate,Social Expenditures as % of GDP,Social Exp. As a Percent of Public Spending,Per Capita Social Expenditures,Social Security Exp/GDP,Social Sec. Exp./Public Spending,Per-capita Social Security Exp.,Health and Educ/ GDP,Health and Education/Public Spending,Per Capita Health and Education ,Popularly-based Governments
GUATEMALA75,12,1975,45.2563,1.95,13.1595,1,4,1370.887,36.7,15.1443,65.5,1380,94.0052,2.793274,4.442895,3.263851,36.28049,44.7437,0.9051015,10.06098,12.40792,2.358749,26.21951,32.33579,0
GUATEMALA76,12,1976,49.1558,7.39,10.7249,1,4,1434.757,36.84,15.57491,65.5,1502,94.3235,2.815389,4.243756,3.321879,35.19418,47.66088,0.8705613,9.223301,12.49044,2.451317,25.97087,35.17044,0
GUATEMALA77,12,1977,50.7125,7.81,12.3243,1,4,1508.217,36.98,15.99236,65.5,1666,94.6427,2.837502,4.023795,3.357052,32.79857,50.63163,1.16767,11.4082,17.611,2.189382,21.39038,33.02063,0
GUATEMALA78,12,1978,48.7382,5,8.2883,0,5,1540.849,37.12,16.21385,65.5,1910,94.963,2.859614,3.997887,2.651952,25.59618,40.86257,0.4447373,4.292528,6.85273,2.207215,21.30366,34.00985,0
GUATEMALA79,12,1979,47.1996,4.71,11.3433,0,5,1578.475,37.26,16.34888,65.5,2155,95.2843,2.881724,3.998113,2.665508,24.69799,42.07438,0.3621614,3.355705,5.716627,2.303346,21.34228,36.35775,0
GUATEMALA80,12,1980,47.1055,3.76,10.8239,0,5,1598.24,37.4,16.64789,65.5,2246,95.6065,2.903833,4.094612,3.350679,24.35424,53.55189,0.4569108,3.321033,7.302531,2.893768,21.03321,46.24936,0
GUATEMALA81,12,1981,40.6913,0.65,11.433,0,5,1572.903,37.48,16.02609,65,2136,95.9428,2.920837,4.053547,3.299257,25.49372,51.8941,0.4298327,3.321364,6.760852,2.869424,22.17235,45.13325,0
GUATEMALA82,12,1982,33.4748,-3.53,0.3075,0,7,1477.958,37.56,15.74743,65,2044,96.2801,2.937841,4.290083,1.609195,13.83399,23.78323,0.3793103,3.26087,5.606048,1.229885,10.57312,18.17719,0
GUATEMALA83,12,1983,27.547,-2.57,4.5385,0,7,1400.248,37.64,15.85358,55,2096,96.6186,2.954846,4.235658,2.519337,24.97262,35.27697,0.4419889,4.381161,6.188941,2.077348,20.59146,29.08802,0
GUATEMALA84,12,1984,28.1531,0.5,3.4068,0,6,1378.468,37.72,15.85647,54.7,2144,96.9582,2.971852,4.272953,2.5132,25.53648,34.64365,0.4329461,4.399142,5.968024,2.080253,21.13734,28.67563,0
GUATEMALA85,12,1985,24.9322,-0.61,18.6868,0,6,1331.093,37.8,15.83787,55,2264,97.2989,2.988857,3.728399,2.030411,23.2582,27.02666,0.3488372,3.995902,4.643348,1.681574,19.26229,22.38332,0
GUATEMALA86,12,1986,30.644,0.14,36.9311,5,1,1297.97,37.86,15.91388,95,2493,97.1458,3.023933,5.200197,2.411921,29.29448,31.30601,0.3851496,4.677914,4.999126,2.026771,24.61656,26.30688,0
GUATEMALA87,12,1987,38.143,3.54,12.3232,5,1,1315.096,37.92,15.68125,96,2677,96.993,3.059007,6.398184,3.495003,35.69781,45.96265,0.3895884,3.979239,5.123461,3.105415,31.71857,40.83918,0
GUATEMALA88,12,1988,38.0399,3.89,10.8326,5,1,1331.004,37.98,15.42572,97,2719,96.8403,3.094079,6.299229,3.465563,33.34895,46.12679,0.0486736,0.4683841,0.6478482,3.41689,32.88056,45.47894,0
GUATEMALA89,12,1989,39.7815,3.94,11.3872,5,1,1345.938,38.04,15.18129,98,2770,96.6878,3.129149,6.37247,4.05742,39.25653,54.61036,0.6079797,5.882353,8.18303,3.44944,33.37418,46.42733,0
GUATEMALA90,12,1990,45.8695,3.1,41.2218,4,2,1360.155,38.1,15.05099,98.2,2875,96.5355,3.164217,7.576086,2.975202,33.42062,40.46736,0.5216073,5.859247,7.094668,2.453594,27.56137,33.37269,0
GUATEMALA91,12,1991,39.5203,3.66,33.166,4,2,1370.561,38.2,14.86376,97,3068,95.9997,3.202138,6.64641,2.784237,37.4254,38.15967,0.4672107,6.280193,6.403408,2.317027,31.14521,31.75627,0
GUATEMALA92,12,1992,45.3623,4.84,10.0461,4,2,1400.302,38.3,14.6426,96,3174,95.4668,3.240065,6.396848,3.102714,32.99192,43.44736,0.5390386,5.731731,7.548168,2.563675,27.26019,35.89919,0
GUATEMALA93,12,1993,44.1726,3.93,11.8197,6,1,1416.469,38.4,14.49709,95,3281,94.9368,3.277998,6.421498,3.139642,35.69912,44.47205,0.5027785,5.716814,7.121702,2.636863,29.9823,37.35035,0
GUATEMALA94,12,1994,42.51,4.03,10.8553,6,1,1440.992,38.5,14.34612,95,3444,94.4096,3.315937,6.063128,3.092314,38.58623,44.56,0.4620391,5.765374,6.657947,2.630275,32.82085,37.90205,0
GUATEMALA95,12,1995,44.6895,4.95,8.4116,6,1,1473.536,38.6,14.11392,94.8,3482,93.8865,3.353772,5.810342,3.710793,46.72483,54.67987,0.5530961,6.964365,8.150069,3.157697,39.76046,46.5298,0
GUATEMALA96,12,1996,40.3929,2.96,11.0571,6,1,1474.15,38.82,13.96891,94.8,3500,92.1621,3.358639,5.608065,3.771925,47.16512,55.60384,0.5623331,7.031557,8.289634,3.209592,40.13356,47.3142,0
GUATEMALA97,12,1997,41.5262,4.27,9.2329,6,1,1492.574,39.04,13.74618,94.8,3505,90.4681,3.363528,5.265519,4.025353,44.8251,60.08137,0.6023203,6.707254,8.990076,3.423033,38.11784,51.0913,0
PARAGUAY73,14,1973,29.2338,7.19,12.5374,0,8,1189.754,38.24,15.97136,47,1232,97.4544,5.32052,1609.52,3.649123,35.30047,43.41558,1.813397,17.54224,21.57497,1.835726,17.75823,21.84062,0
PARAGUAY74,14,1974,33.2857,8.24,25.199,0,8,1252.731,38.62,18.0564,48,1296,96.1848,5.195749,1427.445,3.334524,35.06071,41.77261,1.720238,18.08737,21.54996,1.614286,16.97334,20.22266,0
PARAGUAY75,14,1975,31.8769,6.32,6.7797,0,8,1297.48,39,15.62653,50.3,1364,94.9308,5.070954,1458.836,3.84979,35.33211,49.95025,2.058824,18.89521,26.71282,1.790966,16.4369,23.23743,0
PARAGUAY76,14,1976,32.6988,7.02,4.5635,0,8,1347.064,39.54,15.98597,50.3,1554,93.411,4.961398,1475.558,3.809435,32.87782,51.31553,2.065857,17.82965,27.82842,1.743578,15.04817,23.48711,0
PARAGUAY77,14,1977,41.8953,10.93,9.2978,0,8,1446.349,40.08,17.06068,50.3,1787,91.9152,4.851845,1437.82,3.681335,34.18827,53.24496,1.883915,17.49577,27.24799,1.79742,16.6925,25.99697,0
PARAGUAY78,14,1978,40.5348,11.35,10.5903,0,8,1560.484,40.62,16.87191,50.3,2167,90.4426,4.742297,1398.823,3.723721,32.66689,58.10807,1.845891,16.19335,28.80484,1.877829,16.47353,29.30323,0
PARAGUAY79,14,1979,37.6143,11.36,28.2577,0,8,1683.016,41.16,16.16902,61,2660,88.9929,4.632754,1214.42,3.735424,36.51039,62.86778,2.018351,19.72755,33.96917,1.717073,16.78284,28.89862,0
PARAGUAY80,14,1980,44.0134,14.82,22.4188,0,8,1872.19,41.7,16.00515,61.1,2975,87.5655,4.523215,1125.925,3.28546,33.47026,61.51004,1.614987,16.4525,30.23562,1.670473,17.01776,31.27442,0
PARAGUAY81,14,1981,34.6753,8.54,13.9732,0,8,1969.209,42.36,16.2633,61.1,2810,87.2294,4.426854,1089.796,3.767885,36.37218,74.19753,2.030902,19.60472,39.9927,1.736983,16.76746,34.20483,0
PARAGUAY82,14,1982,31.8909,-3.72,6.7693,0,8,1843.176,43.02,16.41346,61.1,2668,86.8945,4.330511,1083.582,5.335278,46.68954,98.33856,3.488467,30.52792,64.29858,1.846811,16.16163,34.03999,0
PARAGUAY83,14,1983,26.6471,-3.02,13.4337,0,8,1738.184,43.68,14.83011,61.1,2795,86.5607,4.234186,985.9417,5.560513,53.86219,96.65195,3.674328,35.59155,63.86657,1.886186,18.27063,32.78538,0
PARAGUAY84,14,1984,37.953,3.08,20.3116,0,8,1739.483,44.34,14.30069,62,2987,86.228,4.13788,1363.722,5.060912,49.07507,88.0337,3.278214,31.78845,57.02397,1.782698,17.28661,31.00973,0
PARAGUAY85,14,1985,48.4221,3.98,25.2107,0,8,1753.948,45,14.20408,62,3133,85.8965,4.041592,1720.885,4.131143,48.05194,72.45809,2.645168,30.76763,46.39488,1.485975,17.28431,26.06322,0
PARAGUAY86,14,1986,58.4578,0,31.7425,0,8,1700.351,45.74,14.17729,62,3469,85.5239,3.967364,1471.534,3.586214,47.44912,60.97823,2.364925,31.29027,40.21203,1.221289,16.15885,20.7662,0
PARAGUAY87,14,1987,61.2762,4.33,21.8102,0,8,1718.115,46.48,14.11829,62,3755,85.1529,3.89311,2030.504,3.463426,42.20207,59.50565,2.169674,26.43762,37.2775,1.293752,15.76445,22.22815,0
PARAGUAY88,14,1988,71.3379,6.35,22.5945,0,8,1770.782,47.22,13.86621,62,3822,84.7834,3.818829,1724.805,,,,,,,,,,0
PARAGUAY89,14,1989,67.7337,5.8,26.422,6,1,1816.351,47.96,14.51549,77,3876,84.4154,3.744522,2746.277,2.726326,33.86514,49.51964,1.210854,15.04066,21.99336,1.515472,18.82448,27.52629,0
PARAGUAY90,14,1990,72.7402,3.09,38.1782,6,1,1815.596,48.7,16.77798,77.4,4099,84.0489,3.67019,2439.174,2.670657,31.54514,48.48833,1.093877,12.92061,19.86039,1.576779,18.62453,28.62794,0
PARAGUAY91,14,1991,45.2132,2.47,24.225,6,1,1806.379,49.44,16.46865,77,4155,83.7051,3.644091,2204.817,4.178292,37.95647,75.47578,1.722551,15.64801,31.1158,2.455741,22.30846,44.35999,0
PARAGUAY92,14,1992,39.92,1.8,15.1934,6,1,1787.332,50.18,16.47846,76,4265,83.3626,3.617993,2232.123,5.120124,40.6396,91.51363,2.189829,17.38118,39.13952,2.930295,23.25843,52.3741,0
PARAGUAY93,14,1993,44.1639,4.15,18.2084,7,0,1811.634,50.92,15.99475,76,4371,83.0213,3.591894,2261.235,5.934663,48.57281,107.5144,2.112636,17.29107,38.27324,3.822027,31.28174,69.24114,0
PARAGUAY94,14,1994,44.6702,3.09,20.5663,7,0,1820.925,51.66,15.21282,76,4599,82.6812,3.565794,2107.911,,,,,,,,,,0
PARAGUAY95,14,1995,47.7767,4.71,13.3978,7,0,1859.983,52.4,15.13494,75.9,4568,82.343,3.540209,1970.4,,,,,,,,,,0
PARAGUAY96,14,1996,46.492,1.27,9.8051,7,0,1836.529,53.12,14.87216,75.9,4516,80.6012,3.508128,1934.057,,,,,,,,,,0
PARAGUAY97,14,1997,46.2052,3.5,6.9882,7,0,1850.541,53.84,14.73948,,4288,78.8924,3.476051,1964.186,,,,,,,,,,0
PERU73,16,1973,29.4686,5.37,9.4889,0,7,2655.413,59.86,20.6422,40,1817,88.8563,3.501522,5.152689,5.289532,33.33333,140.4589,0,0,0,5.289532,33.33333,140.4589,1
PERU74,16,1974,36.59,9.25,16.8917,0,7,2821.627,60.68,21.66252,35,1926,88.36,3.514505,4.894554,4.916201,30.98592,138.7169,0,0,0,4.916201,30.98592,138.7169,1
PERU75,16,1975,32.782,3.41,23.6189,0,7,2838.465,61.5,20.03306,34,1937,87.8662,3.527489,4.507344,4.907307,28.125,139.2922,0,0,0,4.907307,28.125,139.2922,1
PERU76,16,1976,32.3059,1.96,33.4832,0,7,2815.854,62.12,21.67657,32,2094,87,3.545476,4.932275,4.970569,28.14815,139.964,0,0,0,4.970569,28.14815,139.964,0
PERU77,16,1977,38.6421,0.4,38.0544,0,7,2751.157,62.74,20.84347,30,2073,86.1417,3.563463,5.748566,4.63138,28.48837,127.4165,0,0,0,4.63138,28.48837,127.4165,0
PERU78,16,1978,40.768,0.3,57.8485,0,7,2686.432,63.36,22.76337,27,2397,85.2911,3.581451,7.272713,3.873659,28.26087,104.0632,0.0595948,0.4347826,1.600973,3.814064,27.82609,102.4622,0
PERU79,16,1979,46.8195,5.79,66.6942,0,7,2768.229,63.98,23.4893,24,2685,84.4483,3.599439,6.982478,2.808023,26.55827,77.73251,0.0286533,0.2710027,0.7931889,2.77937,26.28726,76.93932,0
PERU80,16,1980,41.8231,3.07,59.1452,7,0,2780.948,64.6,20.2138,21.6,2981,83.613,3.617428,6.400981,4.109817,25.756,114.2919,0.0166389,0.1042753,0.4627201,4.093178,25.65172,113.8292,0
PERU81,16,1981,35.7929,7.2,75.4333,7,0,2907.741,65.06,36.06984,31,2931,82.5199,3.64144,5.884792,4.354839,29.5557,126.6274,0.028463,0.1931745,0.8276303,4.326375,29.36252,125.7998,0
PERU82,16,1982,36.0675,-0.41,64.4487,7,0,2826.248,65.52,36.21422,31,2524,81.4398,3.665452,6.274971,3.818602,26.50361,107.9232,0.023108,0.1603849,0.6530902,3.795494,26.34322,107.2701,0
PERU83,16,1983,39.204,-12.58,111.1499,7,0,2413.176,65.98,36.22815,31,2689,80.3725,3.689464,7.161227,4.050064,27.00621,97.73518,0.0288832,0.1925958,0.6970021,4.021181,26.81361,97.03818,0
PERU84,16,1984,34.7552,4.11,110.2084,7,0,2455.505,66.44,36.23005,31.1,2838,79.3178,3.713477,7.564973,4.023256,28.81532,98.79124,0.0363372,0.260254,0.8922619,3.986919,28.55507,97.89899,0
PERU85,16,1985,39.4243,2.26,163.3997,7,0,2455.833,66.9,36.23031,31.1,3280,78.2755,3.73749,9.41573,3.823123,29.80097,93.88953,0.0212337,0.165515,0.5214636,3.80189,29.63545,93.36806,0
PERU86,16,1986,29.2685,9.23,77.9211,7,0,2625.416,67.3,23.69321,31.1,3788,77.2211,3.783322,6.850488,4.506188,32.404,118.3062,0.0139063,0.1,0.3650975,4.492282,32.304,117.9411,1
PERU87,16,1987,23.6863,8.48,85.8224,7,0,2789.169,67.7,28.82469,31.1,3613,76.1785,3.829149,4.612421,,,,,,,,,,1
PERU88,16,1988,29.7822,-8.36,667.0182,7,0,2504.837,68.1,28.82469,31.1,3435,75.1476,3.874972,4.792015,,,,,,,,,,1
PERU89,16,1989,24.6428,-11.65,3398.678,7,0,2170.151,68.5,25.26991,31.1,2814,74.1281,3.92079,2.971105,,,,,,,,,,1
PERU90,16,1990,23.5628,-5.4,7481.673,7,0,2014.427,68.9,26.96489,63.1,3576,73.1199,3.966604,2.910785,,,,,,,,,,1
PERU91,16,1991,21.7531,6.97,409.53,8,0,2115.323,69.3,24.07504,85,3285,71.9571,4.044506,2.447635,,,,,,,,,,0
PERU92,16,1992,23.8175,-1.76,73.5284,2,5,2041.172,69.7,22.8616,90,3527,70.8098,4.122408,2.343249,,,,,,,,,,0
PERU93,16,1993,24.1105,6.42,48.5796,2,5,2134.785,70.1,22.15284,90,4000,69.6778,4.200311,2.592355,,,,,,,,,,0
PERU94,16,1994,25.5306,13.12,23.7374,2,4,2374.419,70.5,23.10081,90,4330,68.5607,4.278213,2.372051,,,,,,,,,,0
PERU95,16,1995,27.7978,7.46,11.1285,,,2510.038,70.9,23.09882,91.2,4369,67.4542,4.357243,2.253333,,,,,,,,,,0
PERU96,16,1996,28.2845,2.49,11.5381,,,2528.063,71.28,23.20424,91.2,4516,66.547,4.394258,2.264499,,,,,,,,,,0
PERU97,16,1997,29.4429,7.21,8.5623,,,2663.242,71.66,22.88722,91.2,4282,65.6496,4.431271,2.317131,,,,,,,,,,0
VENEZUELA73,17,1973,41.8497,7.11,4.1263,9,0,4285.371,74.12,16.06936,89,2851,89.7317,3.060735,128.5038,7.214188,37.55415,309.1547,1.272851,6.62595,54.5464,5.941337,30.9282,254.6083,0
VENEZUELA74,17,1974,55.4002,2.1,8.2874,9,0,4224.924,74.96,18.1677,89,2891,88.2203,3.103652,131.1686,5.864528,29.07259,247.7718,0.9581105,4.749702,40.47944,4.906417,24.32289,207.2924,1
VENEZUELA75,17,1975,50.7549,2.87,10.2443,9,0,4195.875,75.8,15.67218,88.7,3048,86.7326,3.14657,129.8402,7.460627,32.28773,313.0386,1.348857,5.837517,56.59635,6.11177,26.45022,256.4422,1
VENEZUELA76,17,1976,50.8706,7.73,7.6018,9,0,4362.855,76.52,16.35572,87,3236,84.9866,3.165476,127.7661,7.566247,31.91283,330.1044,1.413768,5.962974,61.68063,6.15248,25.94986,268.4238,1
VENEZUELA77,17,1977,53.2481,6.25,7.8026,9,0,4472.492,77.24,15.28222,86,3463,83.2731,3.184382,126.3021,7.786769,29.38867,348.2627,1.348748,5.090415,60.32263,6.438022,24.29825,287.94,1
VENEZUELA78,17,1978,51.9884,2.37,7.1146,9,0,4420.474,77.96,14.88124,84,3789,81.5911,3.203287,126.8636,7.843288,29.93094,346.7105,1.463631,5.585394,64.69943,6.379657,24.34555,282.0111,1
VENEZUELA79,17,1979,50.6063,0.81,12.3541,9,0,4311.125,78.68,16.25556,82,3914,79.9399,3.222192,125.7289,6.885412,35.04288,296.8387,1.11844,5.692232,48.21735,5.766972,29.35065,248.6214,0
VENEZUELA80,17,1980,50.6044,-4.48,21.5419,9,0,3994.431,79.4,16.01746,79.8,4025,78.3184,3.241096,117.4093,7.880016,38.88231,314.7618,1.281275,6.322185,51.17963,6.598741,32.56013,263.5822,0
VENEZUELA81,17,1981,48.7608,-0.32,16.0501,9,0,3870.792,79.9,14.89997,80,3880,77.4939,3.275218,111.6077,8.973702,32.48214,347.3534,1.395161,5.050069,54.00379,7.578541,27.43207,293.3496,0
VENEZUELA82,17,1982,46.943,-2.09,9.6599,9,0,3690.627,80.4,15.90241,80,3677,76.6768,3.309348,108.0455,8.746996,32.52116,322.819,2.00206,7.443618,73.88856,6.744936,25.07754,248.9305,0
VENEZUELA83,17,1983,30.7075,-3.74,6.3383,9,0,3464.646,80.9,16.33238,78,3613,75.8671,3.343484,104.9912,8.955594,38.64298,310.2796,1.76833,7.630266,61.26639,7.187263,31.01271,249.0132,0
VENEZUELA84,17,1984,44.0238,1.4,11.5733,9,0,3429.899,81.4,21.40476,78,3879,75.0647,3.377628,160.2941,6.96895,38.98001,239.028,1.307787,7.314955,44.85577,5.661163,31.66506,194.1722,1
VENEZUELA85,17,1985,40.779,0.21,11.3819,9,0,3357.776,81.9,21.90661,78,4313,74.2695,3.411779,159.2865,7.246548,38.71148,243.3228,1.200668,6.414039,40.31574,6.04588,32.29744,203.0071,1
VENEZUELA86,17,1986,40.2985,6.53,11.5434,9,0,3494.611,82.32,23.26723,78,4703,73.7833,3.459769,156.7699,7.800244,40.92916,272.5882,1.477952,7.755054,51.64866,6.322292,33.1741,220.9395,1
VENEZUELA87,17,1987,43.7249,3.55,28.1355,9,0,3533.02,82.74,20.57726,78,5179,73.2998,3.507759,227.4776,,,,,,,,,,1
VENEZUELA88,17,1988,47.9272,5.84,29.469,9,0,3646.38,83.16,20.54512,78,4677,72.8189,3.555749,182.9701,,,,,,,,,,1
VENEZUELA89,17,1989,55.2105,-8.59,84.4631,9,0,3244.188,83.58,20.80906,78,5019,72.3407,3.60374,248.6778,,,,,,,,,,1
VENEZUELA90,17,1990,59.6314,6.48,40.6557,9,0,3353.159,84,20.49144,78.1,5507,71.8652,3.651732,252.0071,,,,,,,,,,1
VENEZUELA91,17,1991,57.5897,9.74,34.205,8,0,3593.254,84.3,19.5917,85,5922,70.9775,3.734745,237.0491,,,,,,,,,,1
VENEZUELA92,17,1992,55.2517,6.06,31.4228,8,0,3723.505,84.6,18.70765,90,5934,70.0991,3.817762,223.6059,,,,,,,,,,1
VENEZUELA93,17,1993,54.1254,0.25,38.122,9,0,3649.143,84.9,17.62009,91,5749,69.2296,3.900784,221.481,,,,,,,,,,0
VENEZUELA94,17,1994,53.1765,-2.35,60.8208,8,0,3485.641,85.2,17.1221,92,5980,68.3689,3.98381,230.9393,,,,,,,,,,0
VENEZUELA95,17,1995,48.0861,3.69,59.919,8,0,3536.926,85.5,17.11191,92.8,5811,67.5169,4.066997,176.8425,,,,,,,,,,0
VENEZUELA96,17,1996,57.9211,-0.46,99.8774,8,0,3446.961,85.78,17.72407,92.8,6112,66.4435,4.128968,214.9598,,,,,,,,,,0
VENEZUELA97,17,1997,49.6421,5.12,50.0391,8,0,3549.313,86.06,16.1165,92.8,5808,65.3839,4.190946,171.596,,,,,,,,,,0
